customer_id,customer_name,gender,age,Age_Status,city,state,join_date
C0001,Aryan Kumar,Female,33,Valid,Delhi,Delhi,17-08-2025
C0002,Rohan Kumar,Male,55,Valid,Kolkata,West Bengal,09-03-2026
C0003,Aryan Kumar,Male,32,Valid,Pune,Maharashtra,02-06-2026
C0004,Rohan Kumar,Male,59,Valid,Kolkata,West Bengal,06-03-2026
C0005,Vivaan Sharma,Female,18,Valid,Indore,Madhya Pradesh,13-06-2025
C0006,Sneha Sharma,Female,27,Valid,Ahmedabad,Gujarat,09-08-2025
C0007,Karan Saini,Male,42,Valid,Chandigarh,Chandigarh,10-04-2025
C0008,Manish Yadav,Female,2,Invalid,Bhopal,Madhya Pradesh,16-04-2026
C0009,Harsh Joshi,Male,53,Valid,Noida,Uttar Pradesh,28-10-2025
C0010,Neha Malhotra,Male,22,Valid,Lucknow,Uttar Pradesh,16-02-2025
C0011,Riya Kumar,Male,32,Valid,Hyderabad,Telangana,14-04-2025
C0012,Ritika Shah,Female,28,Valid,Shimla,Himachal Pradesh,15-01-2026
C0013,Sahil Thakur,Male,56,Valid,Bengaluru,Karnataka,25-06-2025
C0014,Simran Chauhan,Female,42,Valid,Ludhiana,Punjab,04-10-2025
C0015,Neha Kapoor,Female,21,Valid,Jaipur,Rajasthan,23-08-2025
C0016,Riya Thakur,Female,35,Valid,Ahmedabad,Gujarat,09-03-2025
C0017,Komal Sandhu,Male,59,Valid,Ahmedabad,Gujarat,27-05-2026
C0018,Ritika Verma,Female,26,Valid,Mohali,Punjab,10-09-2025
C0019,Aman Kaur,Female,55,Valid,Kolkata,West Bengal,15-03-2026
C0020,Simran Saini,Female,32,Valid,Noida,Uttar Pradesh,22-05-2025
C0021,Deepak Sandhu,Male,25,Valid,Pune,Maharashtra,06-06-2025
C0022,Tanvi Kaur,Male,42,Valid,Gurugram,Haryana,26-01-2026
C0023,Kavya Rana,Female,53,Valid,Dehradun,Uttarakhand,12-01-2025
C0024,Aryan Gupta,Female,59,Valid,Kolkata,West Bengal,15-12-2025
C0025,Sneha Saini,Male,47,Valid,Gurugram,Haryana,04-01-2025
C0026,Sahil Kumar,Male,5,Invalid,Dehradun,Uttarakhand,19-04-2025
C0027,Arjun Patel,Male,27,Valid,Dehradun,Uttarakhand,18-01-2026
C0028,Deepak Chauhan,Male,56,Valid,Kolkata,West Bengal,28-11-2025
C0029,Sakshi Patel,Female,37,Valid,Chandigarh,Chandigarh,03-09-2025
C0030,Harsh Gupta,Male,23,Valid,Indore,Madhya Pradesh,13-05-2026
C0031,Ishita Sharma,Male,26,Valid,Kolkata,West Bengal,02-05-2026
C0032,Vivaan Thakur,Female,31,Valid,Bengaluru,Karnataka,25-07-2025
C0033,Ritika Singh,Female,46,Valid,Noida,Uttar Pradesh,14-06-2026
C0034,Riya Gupta,Male,22,Valid,Jaipur,Rajasthan,13-12-2025
C0035,Manish Patel,Male,55,Valid,Kolkata,West Bengal,14-08-2025
C0036,Pooja Kumar,Male,22,Valid,Mumbai,Maharashtra,02-02-2025
C0037,Aarav Kaur,Male,35,Valid,Pune,Maharashtra,13-05-2026
C0038,Aarav Singh,Female,33,Valid,Mohali,Punjab,30-04-2026
C0039,Sakshi Joshi,Male,24,Valid,Amritsar,Punjab,18-03-2026
C0040,Aman Sandhu,Female,21,Valid,Gurugram,Haryana,11-04-2025
C0041,Vikas Yadav,Male,,Missing,Ahmedabad,Gujarat,16-07-2025
C0042,Neha Yadav,Unknown,45,Valid,Shimla,Himachal Pradesh,07-07-2025
C0043,Vivaan Bansal,Male,46,Valid,Jaipur,Rajasthan,11-04-2025
C0044,Aman Sandhu,Unknown,33,Valid,Delhi,Delhi,20-06-2025
C0045,Mohit Saini,Male,43,Valid,Una,Himachal Pradesh,02-03-2025
C0046,Vivaan Sandhu,Female,34,Valid,Delhi,Delhi,11-04-2026
C0047,Ananya Rana,Female,27,Valid,Kolkata,West Bengal,14-07-2025
C0048,Rahul Bansal,Male,,Missing,Mumbai,Maharashtra,28-02-2025
C0049,Nikhil Yadav,Male,21,Valid,Una,Himachal Pradesh,05-06-2026
C0050,Nikhil Kapoor,Male,33,Valid,Pune,Maharashtra,18-02-2026
C0051,Vivaan Kaur,Male,57,Valid,Jaipur,Rajasthan,25-03-2025
C0052,Aditya Gupta,Female,34,Valid,Indore,Madhya Pradesh,29-07-2025
C0053,Arjun Kaur,Female,43,Valid,Jaipur,Rajasthan,15-05-2025
C0054,Ananya Kaur,Female,22,Valid,Shimla,Himachal Pradesh,10-01-2025
C0055,Sahil Joshi,Male,22,Valid,Indore,Madhya Pradesh,07-08-2025
C0056,Sahil Patel,Female,22,Valid,Mohali,Punjab,08-09-2025
C0057,Pooja Shah,Female,52,Valid,Ludhiana,Punjab,06-11-2025
C0058,Kavya Chauhan,Female,6,Invalid,Delhi,Delhi,17-04-2025
C0059,Neha Patel,Male,24,Valid,Bengaluru,Karnataka,09-06-2025
C0060,Sneha Gill,Male,39,Valid,Bhopal,Madhya Pradesh,28-07-2025
C0061,Tanvi Mehta,Female,34,Valid,Dehradun,Uttarakhand,22-02-2025
C0062,Mohit Patel,Male,18,Valid,Bengaluru,Karnataka,08-12-2025
C0063,Sahil Chauhan,Male,46,Valid,Bengaluru,Karnataka,14-03-2026
C0064,Aditya Yadav,Male,27,Valid,Chandigarh,Chandigarh,06-02-2025
C0065,Harsh Mehta,Unknown,45,Valid,Indore,Madhya Pradesh,11-05-2025
C0066,Riya Sharma,Male,4,Invalid,Lucknow,Uttar Pradesh,04-08-2025
C0067,Ritika Malhotra,Female,53,Valid,Chandigarh,Chandigarh,21-02-2026
C0068,Vivaan Patel,Male,29,Valid,Jaipur,Rajasthan,27-02-2026
C0069,Sahil Thakur,Female,6,Invalid,Ahmedabad,Gujarat,12-09-2025
C0070,Sneha Mehta,Female,2,Invalid,Chandigarh,Chandigarh,27-04-2026
C0071,Aarav Gupta,Female,37,Valid,Shimla,Himachal Pradesh,22-08-2025
C0072,Mohit Gupta,Female,39,Valid,Amritsar,Punjab,13-10-2025
C0073,Karan Kapoor,Female,59,Valid,Bengaluru,Karnataka,06-06-2026
C0074,Karan Sharma,Male,25,Valid,Ahmedabad,Gujarat,25-09-2025
C0075,Sakshi Singh,Male,24,Valid,Bengaluru,Karnataka,21-03-2026
C0076,Simran Sandhu,Male,42,Valid,Gurugram,Haryana,14-07-2025
C0077,Rahul Kaur,Male,51,Valid,Gurugram,Haryana,21-07-2025
C0078,Neha Joshi,Female,57,Valid,Pune,Maharashtra,18-11-2025
C0079,Mohit Verma,Female,6,Invalid,Hyderabad,Telangana,23-02-2026
C0080,Neha Yadav,Male,3,Invalid,Hyderabad,Telangana,07-03-2026
C0081,Sahil Kumar,Female,43,Valid,Ludhiana,Punjab,01-01-2025
C0082,Priya Bansal,Female,55,Valid,Amritsar,Punjab,26-11-2025
C0083,Sahil Bansal,Male,5,Invalid,Shimla,Himachal Pradesh,30-04-2026
C0084,Nikhil Patel,Female,5,Invalid,Pune,Maharashtra,10-12-2025
C0085,Pooja Saini,Male,3,Invalid,Hyderabad,Telangana,31-05-2025
C0086,Vikas Gupta,Female,57,Valid,Jaipur,Rajasthan,16-03-2025
C0087,Aditya Thakur,Male,42,Valid,Indore,Madhya Pradesh,22-05-2026
C0088,Aarav Verma,Male,24,Valid,Mohali,Punjab,12-03-2026
C0089,Pooja Yadav,Female,21,Valid,Dehradun,Uttarakhand,13-09-2025
C0090,Simran Thakur,Male,47,Valid,Shimla,Himachal Pradesh,21-11-2025
C0091,Karan Gupta,Female,53,Valid,Bhopal,Madhya Pradesh,02-04-2026
C0092,Komal Kumar,Female,34,Valid,Una,Himachal Pradesh,11-09-2025
C0093,Harsh Saini,Female,58,Valid,Dehradun,Uttarakhand,02-09-2025
C0094,Tanvi Gupta,Female,33,Valid,Pune,Maharashtra,06-10-2025
C0095,Ritika Chauhan,Male,26,Valid,Kolkata,West Bengal,04-06-2025
C0096,Mohit Saini,Male,22,Valid,Mohali,Punjab,01-03-2026
C0097,Priya Joshi,Female,44,Valid,Kolkata,West Bengal,05-03-2025
C0098,Karan Bansal,Male,54,Valid,Noida,Uttar Pradesh,25-01-2026
C0099,Ananya Joshi,Female,42,Valid,Lucknow,Uttar Pradesh,06-03-2026
C0100,Aman Yadav,Male,49,Valid,Bhopal,Madhya Pradesh,13-08-2025
C0101,Ishita Sharma,Male,42,Valid,Una,Himachal Pradesh,11-12-2025
C0102,Riya Sandhu,Female,26,Valid,Ludhiana,Punjab,28-01-2025
C0103,Mohit Yadav,Male,23,Valid,Indore,Madhya Pradesh,15-03-2026
C0104,Sahil Bansal,Male,34,Valid,Ludhiana,Punjab,24-01-2026
C0105,Komal Bansal,Female,39,Valid,Shimla,Himachal Pradesh,24-01-2026
C0106,Rohan Saini,Male,48,Valid,Bengaluru,Karnataka,20-01-2025
C0107,Priya Kapoor,Female,32,Valid,Mumbai,Maharashtra,12-03-2025
C0108,Mohit Yadav,Male,3,Invalid,Delhi,Delhi,21-01-2025
C0109,Deepak Sandhu,Male,48,Valid,Jaipur,Rajasthan,28-04-2025
C0110,Harsh Verma,Female,41,Valid,Shimla,Himachal Pradesh,21-06-2025
C0111,Sneha Mehta,Male,37,Valid,Chandigarh,Chandigarh,21-04-2025
C0112,Meera Kapoor,Female,43,Valid,Hyderabad,Telangana,23-07-2025
C0113,Sneha Shah,Male,37,Valid,Jaipur,Rajasthan,04-05-2025
C0114,Meera Sharma,Female,52,Valid,Mumbai,Maharashtra,15-03-2026
C0115,Aditya Kaur,Female,18,Valid,Pune,Maharashtra,07-03-2026
C0116,Vikas Kaur,Female,41,Valid,Chandigarh,Chandigarh,16-04-2026
C0117,Sahil Malhotra,Male,51,Valid,Gurugram,Haryana,04-10-2025
C0118,Ritika Rana,Female,45,Valid,Una,Himachal Pradesh,02-10-2025
C0119,Manish Mehta,Female,46,Valid,Pune,Maharashtra,07-09-2025
C0120,Sneha Sandhu,Female,39,Valid,Indore,Madhya Pradesh,30-01-2025
C0121,Priya Thakur,Female,31,Valid,Ludhiana,Punjab,30-12-2025
C0122,Harsh Saini,Female,56,Valid,Ahmedabad,Gujarat,10-10-2025
C0123,Ishita Joshi,Male,23,Valid,Dehradun,Uttarakhand,05-09-2025
C0124,Vikas Chauhan,Male,48,Valid,Una,Himachal Pradesh,18-05-2026
C0125,Riya Sharma,Female,32,Valid,Pune,Maharashtra,19-02-2026
C0126,Deepak Yadav,Female,48,Valid,Hyderabad,Telangana,19-12-2025
C0127,Pooja Sharma,Female,47,Valid,Ahmedabad,Gujarat,05-10-2025
C0128,Manish Thakur,Male,3,Invalid,Jaipur,Rajasthan,20-11-2025
C0129,Ananya Sandhu,Male,31,Valid,Ludhiana,Punjab,11-05-2026
C0130,Nikhil Chauhan,Female,24,Valid,Dehradun,Uttarakhand,18-07-2025
C0131,Arjun Sandhu,Male,37,Valid,Lucknow,Uttar Pradesh,15-01-2025
C0132,Mohit Kaur,Female,2,Invalid,Mohali,Punjab,25-02-2025
C0133,Nikhil Thakur,Female,24,Valid,Mohali,Punjab,13-01-2025
C0134,Manish Sandhu,Female,46,Valid,Una,Himachal Pradesh,15-12-2025
C0135,Riya Patel,Female,25,Valid,Bengaluru,Karnataka,08-03-2025
C0136,Meera Patel,Male,27,Valid,Pune,Maharashtra,02-06-2025
C0137,Rahul Verma,Male,33,Valid,Hyderabad,Telangana,02-05-2025
C0138,Simran Rana,Male,51,Valid,Bhopal,Madhya Pradesh,25-01-2026
C0139,Vikas Kaur,Female,37,Valid,Hyderabad,Telangana,03-03-2025
C0140,Riya Yadav,Male,34,Valid,Amritsar,Punjab,25-03-2025
C0141,Pooja Saini,Male,28,Valid,Ludhiana,Punjab,03-01-2025
C0142,Sneha Kumar,Female,36,Valid,Bhopal,Madhya Pradesh,03-02-2025
C0143,Rahul Thakur,Female,22,Valid,Hyderabad,Telangana,28-08-2025
C0144,Ananya Saini,Male,45,Valid,Indore,Madhya Pradesh,28-04-2025
C0145,Karan Patel,Female,27,Valid,Mohali,Punjab,15-03-2025
C0146,Komal Chauhan,Female,46,Valid,Hyderabad,Telangana,08-05-2025
C0147,Riya Thakur,Female,5,Invalid,Noida,Uttar Pradesh,21-05-2026
